Fecha,Apertura,Maximo,Minimo,Cierre,Volumen
2024-01-02,119.2,121.19,118.4,120.69,1516443
2024-01-03,120.46,121.66,120.19,120.55,1450167
2024-01-04,120.61,122.5,119.45,121.44,1106375
2024-01-05,120.67,124.91,119.7,123.47,1238029
2024-01-08,124.25,125.11,121.83,123.22,1523631
2024-01-09,128.13,130.35,125.25,127.47,1758300
2024-01-10,128.51,129.23,127.75,128.46,1549840
2024-01-11,129.1,130.93,126.8,128.64,1200119
2024-01-12,124.34,125.95,122.59,124.2,2188911
2024-01-15,123.73,124.66,122.65,123.58,1268981
2024-01-16,122.57,123.66,121.7,122.78,1815849
2024-01-17,123.29,124.85,121.09,122.65,1947739
2024-01-18,120.96,122.63,119.57,121.24,1378971
2024-01-19,121.25,123.06,119.41,121.22,1506993
2024-01-22,119.07,121.27,118.0,120.19,1260594
2024-01-23,116.31,118.02,115.5,117.21,1864215
2024-01-24,120.47,121.43,118.51,119.46,1879332
2024-01-25,122.37,122.99,121.04,121.66,1503520
2024-01-26,125.73,127.04,124.44,125.76,942854
2024-01-29,125.66,127.6,123.94,125.87,1972994
2024-01-30,126.02,127.05,123.89,124.92,2192048
2024-01-31,124.05,124.57,123.13,123.65,1792430
2024-02-01,119.85,121.52,118.39,120.06,1480738
2024-02-02,123.21,124.54,121.15,122.48,1415819
2024-02-05,120.54,121.87,118.63,119.96,1368766
2024-02-06,118.06,119.05,116.29,117.29,1287905
2024-02-07,116.65,117.44,116.18,116.97,1318177
2024-02-08,121.76,122.5,119.9,120.64,1520755
2024-02-09,120.63,122.19,119.74,121.3,2065509
2024-02-12,119.52,120.41,118.09,118.98,1519962
2024-02-13,116.95,118.25,116.14,117.44,1187743
2024-02-14,118.54,120.44,117.17,119.08,1732981
2024-02-15,119.12,120.24,117.72,118.83,1027873
2024-02-16,117.12,117.9,116.38,117.16,1835603
2024-02-19,117.13,118.7,115.22,116.79,1392062
2024-02-20,117.64,120.4,115.96,118.72,1960051
2024-02-21,122.62,124.77,121.35,123.51,1948124
2024-02-22,119.98,122.71,117.9,120.63,1391823
2024-02-23,118.61,121.14,116.72,119.26,1623956
2024-02-26,117.1,119.14,115.46,117.5,812275
2024-02-27,113.06,113.86,111.18,111.98,1620873
2024-02-28,109.84,111.5,108.42,110.08,1837992
2024-02-29,107.49,109.58,105.9,107.99,1411661
2024-03-01,110.57,112.07,109.48,110.98,1155357
2024-03-04,110.49,112.64,108.81,110.97,1463317
2024-03-05,108.13,109.55,106.03,107.45,1147653
2024-03-06,108.19,110.19,107.34,109.33,1612989
2024-03-07,108.83,109.61,108.04,108.82,1883039
2024-03-08,104.02,105.63,103.44,105.06,1563634
2024-03-11,106.32,107.72,103.59,105.0,1155130
2024-03-12,105.36,106.9,103.46,105.0,1856003
2024-03-13,104.75,105.8,103.95,105.0,1560359
2024-03-14,105.73,107.73,103.48,105.48,2271453
2024-03-15,104.56,105.94,103.62,105.0,1494788
2024-03-18,104.85,106.44,103.41,105.0,1692923
2024-03-19,107.95,109.82,105.92,107.8,1460544
2024-03-20,109.53,110.58,109.11,110.16,1146869
2024-03-21,112.45,113.33,112.19,113.07,1756930
2024-03-22,116.07,117.06,114.97,115.96,1196736
2024-03-25,118.7,120.39,117.96,119.65,2184257
2024-03-26,115.81,118.41,114.54,117.14,1785948
2024-03-27,119.38,120.42,118.26,119.3,1794762
2024-03-28,114.39,116.53,112.91,115.05,2033770
2024-03-29,113.23,114.64,112.44,113.85,1566752
2024-04-01,110.18,112.05,107.72,109.59,1763220
2024-04-02,111.97,113.02,111.33,112.37,1605361
2024-04-03,116.01,116.66,115.13,115.78,1539285
2024-04-04,115.71,117.43,113.79,115.51,1160424
2024-04-05,120.22,120.83,119.27,119.88,1363849
